u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96632600,96635105,0,288720070,1st Avenue South,residential,False,True,106.68400000000001,"[512, 2824, 1839, 1843, 1914, 1917]",473,44.0,0.002,2.069999933242798,1.0,"[1797.47, 861.21, 4327.25, 1779.31, 309.55, 965.95]",10040.74,nan,nan,nan,nan,nan
96632602,2922788762,0,122483551,3rd Avenue South,residential,False,False,16.929,1315,1048,44.0,0.0,2.2699999809265137,1.0,[1720.41],1720.41,nan,nan,nan,nan,nan
96632602,96755249,0,122483551,3rd Avenue South,residential,False,True,105.808,"[1898, 1901, 2834, 1911, 921]",820,44.0,0.002,2.309999942779541,1.0,"[5050.42, 441.68, 856.65, 2898.27, 1381.35]",10628.37,nan,nan,nan,nan,nan
96632604,96632605,0,10874232,3rd Street South,primary,True,False,104.092,446,409,56.0,0.002,2.180000066757202,1.0,[16995.81],16995.81,2,FL A1A,35 mph,nan,nan
96632604,2922788760,0,83591037,5th Avenue South,residential,False,False,16.027,1309,1042,44.0,0.0,1.9800000190734863,1.0,[1516.15],1516.15,2,nan,nan,nan,nan
96632604,96755251,0,83591037,5th Avenue South,residential,False,True,106.811,"[1817, 2866, 925, 1823]",824,44.0,0.002,2.1500000953674316,1.0,"[834.1, 619.48, 6189.46, 2803.05]",10446.09,2,nan,nan,nan,nan
96632605,2922788759,0,122483553,6th Avenue South,residential,False,False,15.834,1306,1039,44.0,0.0,2.069999933242798,1.0,[1549.16],1549.16,nan,nan,nan,nan,nan
96632605,96632607,0,10874232,3rd Street South,primary,True,False,105.59100000000001,"[449, 1597]",413,56.0,0.002,2.069999933242798,1.0,"[8081.12, 8933.09]",17014.21,2,FL A1A,35 mph,nan,nan
96632605,96662035,0,122483553,6th Avenue South,residential,False,True,105.966,"[624, 2864, 1819, 1821, 1599]",565,44.0,0.002,2.140000104904175,1.0,"[2451.06, 705.41, 2231.73, 2647.02, 2150.34]",10185.56,nan,nan,nan,nan,nan
96632607,96632608,0,10874232,3rd Street South,primary,True,False,103.804,452,415,56.0,0.002,2.190000057220459,1.0,[16934.03],16934.03,2,FL A1A,35 mph,nan,nan
