osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
7476089,Groenewegje,residential,30,True,False,117.0,103,"LINESTRING (4.3157208 52.0732803, 4.3172072 52.0738054)",60,30.0,14.0,nan,nan,nan,nan,244.0,"[45125512, 45123452, 1401604249, 1401604251, 45127192]",127.0,1
"[7476120, 7476089]","['Groenewegje', 'Spinozastraat']",residential,30,True,False,189.0,"[329, 331, 332, 333, 334, 336, 338, 339, 340, 605]","LINESTRING (4.3149649 52.0722659, 4.3148783 52.0723243, 4.3146284 52.072495, 4.3143195 52.0726682, 4.3142936 52.0727048, 4.3142783 52.0727466, 4.3142951 52.0727721, 4.3143102 52.0727893, 4.3143558 52.0728118, 4.3153647 52.0731585, 4.3157208 52.0732803)",160,30.0,23.0,nan,nan,nan,nan,160.0,"[45125512, 45123452, 1942904234]",-29.0,1
7476238,Stationsweg,residential,50,False,True,27.0,"[457, 116, 455]","LINESTRING (4.3182689 52.0735321, 4.3184089 52.0734937, 4.3185604 52.073438, 4.3186141 52.0734097)",71,50.0,2.0,nan,nan,nan,nan,607.0,"[45125834, 45119962, 1942904234, 45123452, 1401604249, 45126520]",580.0,1
7476238,Stationsweg,residential,50,False,False,63.0,"[259, 452, 261, 263]","LINESTRING (4.3191835 52.072965, 4.3189625 52.0731648, 4.318765 52.0733198, 4.3187025 52.0733607, 4.3186141 52.0734097)",142,50.0,5.0,nan,nan,nan,nan,660.0,"[45125834, 45119962, 45117756, 1401604230, 1401604232]",597.0,1
7476033,Stille Veerkade,residential,30,False,False,12.0,238,"LINESTRING (4.3133542 52.0735322, 4.3132034 52.0734695)",135,30.0,1.0,nan,nan,nan,nan,149.0,"[45126420, 45128012, 568103758]",137.0,1
183874098,Paviljoensgracht,residential,30,True,False,76.0,"[202, 109, 646, 647]","LINESTRING (4.3133542 52.0735322, 4.3132778 52.0735824, 4.3132284 52.0736175, 4.3127844 52.0739215, 4.3125511 52.0739793)",65,30.0,9.0,nan,nan,nan,nan,85.0,"[45126420, 568103758, 45128012]",9.0,1
"[740768867, 618600077, 44805871]",Stille Veerkade,residential,"['30', '50']",True,False,29.0,"[472, 602, 310, 655]","LINESTRING (4.3136587 52.0737047, 4.3135167 52.0736576, 4.3134733 52.0736331, 4.3134096 52.0735941, 4.3133542 52.0735322)",193,40.0,3.0,nan,nan,nan,nan,448.0,"[45126420, 1555832654, 1401604253, 45130249, 568103757, 11910884639]",419.0,1
183874098,Paviljoensgracht,residential,30,True,False,70.0,"[100, 304, 658, 307, 660, 212]","LINESTRING (4.3140258 52.0730576, 4.3139929 52.073091, 4.3137865 52.0732328, 4.3134845 52.0734404, 4.3134814 52.0734425, 4.3134489 52.0734648, 4.3133542 52.0735322)",156,30.0,8.0,nan,nan,nan,nan,97.0,"[45126420, 568103758, 1555832654]",27.0,1
7477477,Hoge Zand,residential,30,True,False,83.0,112,"LINESTRING (4.3082934 52.0735636, 4.3072361 52.0731971)",67,30.0,10.0,nan,nan,nan,nan,,nan,,0
7477373,Lange Beestenmarkt,residential,30,True,False,100.0,"[592, 596, 591, 111]","LINESTRING (4.3082934 52.0735636, 4.3079873 52.0739085, 4.3078612 52.0740505, 4.3078221 52.0740955, 4.3075928 52.0743528)",68,30.0,12.0,nan,nan,nan,nan,407.0,"[45126513, 45128010, 2217327076, 568098163, 6750121226]",307.0,1
7477499,Herderinnestraat,residential,30,True,False,104.0,125,"LINESTRING (4.3082934 52.0735636, 4.3096147 52.0740153)",76,30.0,12.0,nan,nan,nan,nan,360.0,"[45126513, 45123838, 45122240, 45124236, 45128010]",256.0,1
7476106,Stationsweg,residential,30,False,True,71.0,"[328, 118, 120, 441, 443, 508, 510]","LINESTRING (4.3192749 52.0736, 4.3189387 52.0736, 4.3188 52.0736, 4.3184694 52.0735965, 4.3184277 52.0735961, 4.3183626 52.073584, 4.3183222 52.0735667, 4.3182689 52.0735321)",73,30.0,9.0,nan,nan,nan,nan,,nan,,0
7476238,Stationsweg,residential,50,False,True,38.0,"[266, 326]","LINESTRING (4.3177551 52.0736582, 4.3180626 52.0735809, 4.3182689 52.0735321)",145,50.0,3.0,nan,nan,nan,nan,596.0,"[45126520, 45125834, 45119962, 1942904234, 45123452, 1401604249]",558.0,1
"[7476100, 143488462]",Huijgenspark,residential,30,True,False,201.0,"[423, 424, 425, 426, 427, 107, 119, 121, 122]","LINESTRING (4.3192749 52.0736, 4.3200007 52.0736116, 4.3211003 52.07363, 4.3214906 52.0736187, 4.3215822 52.073609, 4.3216606 52.0735962, 4.3217422 52.0735736, 4.3218174 52.0735471, 4.3218942 52.0735126, 4.3220846 52.0733946)",72,30.0,24.0,nan,nan,nan,nan,,nan,,0
7476238,Stationsweg,residential,50,False,False,19.0,268,"LINESTRING (4.3172072 52.0738054, 4.3174585 52.0737339)",146,50.0,1.0,nan,nan,nan,nan,342.0,"[45127192, 45125512, 45123452, 1401604249, 1401604251]",323.0,1
"[144087265, 126443284, 7476238]","['Wagenstraat', 'Wagenbrug', 'Stationsweg']",residential,"['30', '50']",False,"[False, True]",27.0,"[316, 319, 271]","LINESTRING (4.3168481 52.0739045, 4.317 52.0738618, 4.317114 52.0738303, 4.3172072 52.0738054)",150,40.0,2.0,yes,nan,nan,nan,496.0,"[45127192, 1401604251, 1510612604, 1510612636, 45132751, 45130358, 45129228, 1401604253]",469.0,1
"[184330448, 7477504, 184330447]",Herderstraat,residential,30,False,True,102.0,"[248, 353, 356, 359]","LINESTRING (4.310794 52.0745681, 4.310245 52.0743117, 4.310211 52.0742955, 4.3101731 52.0742775, 4.3096147 52.0740153)",165,30.0,12.0,nan,no,nan,nan,,nan,,0
"[7477720, 7477638]","['Prinsegracht', 'Boekhorststraat']",residential,"['30', '50']",True,False,178.0,"[162, 593, 469, 503, 217, 218, 541]","LINESTRING (4.3081878 52.0751166, 4.3082319 52.0751406, 4.3082781 52.0751607, 4.308352 52.0751794, 4.3085187 52.0752113, 4.3085545 52.07517, 4.3092195 52.0744458, 4.3096147 52.0740153)",180,40.0,16.0,nan,nan,nan,nan,329.0,"[45128010, 45126513, 6750121226, 568098163, 2217327076]",151.0,1
7477701,Paviljoensgracht,residential,30,False,True,139.0,"[133, 358, 136, 138, 235, 651]","LINESTRING (4.310794 52.0745681, 4.3114488 52.0744198, 4.311697 52.0743504, 4.312052 52.0742519, 4.312273 52.07415, 4.3124947 52.0740139, 4.3125511 52.0739793)",164,30.0,17.0,nan,nan,nan,nan,492.0,"[45128012, 45132248, 45135604, 45130354, 1947942327]",353.0,1
44805875,Paviljoensgracht,residential,30,True,False,73.0,"[130, 241, 242, 243, 447]","LINESTRING (4.3125511 52.0739793, 4.3126506 52.0738582, 4.3129122 52.0736739, 4.3131029 52.073547, 4.3131444 52.0735103, 4.3132034 52.0734695)",81,30.0,9.0,nan,nan,nan,nan,88.0,"[45128012, 45126420, 568103758]",15.0,1
